theme,token,value,source_count,confidence,example_files
bdsm,primary,"#3b82f6",0,generated,"default"
bdsm,secondary,"#6b7280",0,generated,"default"
bdsm,accent,"var(--bdsm-icon-md)",4,high,"themes/bdsm/assets/bdsm-theme.css"
bdsm,bg,"#ffffff",1,medium,"themes/bdsm/assets/bdsm-theme.css"
bdsm,bg-light,"#f8fafc",0,generated,"default"
bdsm,bg-dark,"#0f172a",0,generated,"default"
bdsm,surface,"#ffffff",0,generated,"default"
bdsm,text,"#1e293b",0,generated,"default"
bdsm,text-light,"#64748b",0,generated,"default"
bdsm,text-dark,"#1a1a1a",1,medium,"themes/bdsm/assets/bdsm-theme.css"
bdsm,text-muted,"#6b7280",1,medium,"themes/bdsm/assets/bdsm-theme.css"
bdsm,border,"#d1d5db",1,medium,"themes/bdsm/assets/bdsm-theme.css"
bdsm,border-light,"#f1f5f9",0,generated,"default"
bdsm,border-dark,"#334155",0,generated,"default"
bdsm,btn-bg,"#3b82f6",0,generated,"default"
bdsm,btn-text,"#ffffff",0,generated,"default"
bdsm,btn-bg-hover,"#2563eb",0,generated,"default"
bdsm,btn-text-hover,"#ffffff",0,generated,"default"
bdsm,link,"#3b82f6",0,generated,"default"
bdsm,link-hover,"#2563eb",0,generated,"default"
bdsm,nav-bg,"#ffffff",0,generated,"default"
bdsm,nav-text,"#1e293b",0,generated,"default"
bdsm,nav-border,"#e2e8f0",0,generated,"default"
bdsm,footer-bg,"#f1f5f9",0,generated,"default"
bdsm,footer-text,"#64748b",0,generated,"default"
bdsm,footer-border,"#e2e8f0",0,generated,"default"
bdsm,card-bg,"#ffffff",0,generated,"default"
bdsm,card-border,"#e2e8f0",0,generated,"default"
bdsm,card-shadow,"rgba(0, 0, 0, 0.1)",0,generated,"default"
bdsm,hero-bg,"#3b82f6",0,generated,"default"
bdsm,hero-text,"#ffffff",0,generated,"default"
bdsm,hero-overlay,"rgba(0, 0, 0, 0.5)",0,generated,"default"
bdsm,badge-bg,"#f1f5f9",0,generated,"default"
bdsm,badge-text,"#475569",0,generated,"default"
bdsm,alert-bg,"#fef2f2",0,generated,"default"
bdsm,alert-text,"#991b1b",0,generated,"default"
bdsm,alert-border,"#fecaca",0,generated,"default"
bdsm,success,"#10b981",0,generated,"default"
bdsm,warning,"#f59e0b",0,generated,"default"
bdsm,danger,"#dc2626",1,medium,"themes/bdsm/assets/bdsm-theme.css"
bdsm,info,"#3b82f6",0,generated,"default"
bdsm,focus-ring,"#3b82f6",0,generated,"default"
bdsm,disabled-bg,"#f1f5f9",0,generated,"default"
bdsm,disabled-text,"#94a3b8",0,generated,"default"
bdsm,danger-light,"#ef4444",1,medium,"themes/bdsm/assets/bdsm-theme.css"
dark,primary,"#3b82f6",0,generated,"default"
dark,secondary,"#6b7280",0,generated,"default"
dark,accent,"var(--accent)",29,high,"themes/dark/assets/victorian-boudoir.css"
dark,bg,"#ffffff",2,high,"themes/dark/velvet-nocturne.css"
dark,bg-light,"#f8fafc",0,generated,"default"
dark,bg-dark,"#0f172a",0,generated,"default"
dark,surface,"#ffffff",0,generated,"default"
dark,text,"#1e293b",0,generated,"default"
dark,text-light,"#64748b",0,generated,"default"
dark,text-dark,"#0f172a",0,generated,"default"
dark,text-muted,"#64748b",0,generated,"default"
dark,border,"#e2e8f0",0,generated,"default"
dark,border-light,"#f1f5f9",0,generated,"default"
dark,border-dark,"#334155",0,generated,"default"
dark,btn-bg,"#ff2a6d",1,medium,"themes/dark/velvet-nocturne.css"
dark,btn-text,"#ffffff",0,generated,"default"
dark,btn-bg-hover,"#2563eb",0,generated,"default"
dark,btn-text-hover,"#ffffff",0,generated,"default"
dark,link,"#3b82f6",0,generated,"default"
dark,link-hover,"#2563eb",0,generated,"default"
dark,nav-bg,"#ffffff",0,generated,"default"
dark,nav-text,"#1e293b",0,generated,"default"
dark,nav-border,"#e2e8f0",0,generated,"default"
dark,footer-bg,"#f1f5f9",0,generated,"default"
